Date,Open,High,Low,Close,Volume,Adj Close
2015-07-21,7.90,8.17,7.77,8.04,20767000,8.04
2015-07-20,8.09,8.25,7.85,8.05,35172400,8.05
2015-07-17,7.39,8.02,7.33,7.89,26498200,7.89
2015-07-16,6.85,7.68,6.81,7.35,23152700,7.35
2015-07-15,7.97,7.99,7.33,7.33,28744000,7.33
2015-07-14,8.35,8.94,8.01,8.14,47984700,8.14
2015-07-13,7.98,8.67,7.90,8.67,56536400,8.67
2015-07-10,7.16,7.88,7.16,7.88,48843600,7.88
2015-07-09,5.86,7.16,5.86,7.16,64131300,7.16
2015-07-08,6.51,6.51,6.51,6.51,6057500,6.51
2015-07-07,7.62,7.90,7.23,7.23,10554900,7.23
2015-07-06,9.18,9.18,7.60,8.03,27208800,8.03
2015-07-03,8.08,8.81,7.72,8.35,26425400,8.35
2015-07-02,8.56,8.85,7.64,8.53,29705900,8.53
2015-07-01,8.98,9.19,8.40,8.49,24075700,8.49
2015-06-30,8.37,9.05,7.66,9.02,30498000,9.02
2015-06-29,9.31,9.34,8.24,8.35,33353600,8.35
2015-06-26,9.80,9.89,9.16,9.16,27484000,9.16
2015-06-25,10.51,10.77,10.01,10.18,26094400,10.18
2015-06-24,10.26,10.55,10.10,10.50,22520900,10.50
2015-06-23,10.10,10.30,9.26,10.20,24575100,10.20
2015-06-22,10.15,10.15,10.15,10.15,000,10.15
2015-06-19,10.90,11.11,10.15,10.15,25509700,10.15
2015-06-18,11.34,11.84,11.22,11.28,38681800,11.28
2015-06-17,11.05,11.28,10.43,11.28,30678900,11.28
2015-06-16,11.50,11.66,10.93,11.01,35837700,11.01
2015-06-15,11.45,12.13,11.38,11.71,52789500,11.71
2015-06-12,11.13,11.50,11.01,11.46,42622600,11.46
2015-06-11,11.01,11.16,10.86,11.09,26379600,11.09
2015-06-10,10.86,11.37,10.65,11.13,35036200,11.13
2015-06-09,11.18,11.26,10.75,11.04,30650200,10.98
2015-06-08,10.80,11.20,10.60,11.18,44666100,11.11924
2015-06-05,11.02,11.02,10.00,10.89,52225800,10.83082
2015-06-04,10.52,11.28,10.26,11.02,64738600,10.96011
2015-06-03,10.20,10.44,9.90,10.25,36454400,10.19429
2015-06-02,9.68,10.23,9.61,10.20,38292200,10.14456
2015-06-01,9.22,9.69,9.21,9.69,28979500,9.63734
2015-05-29,9.00,9.23,8.71,9.17,28646900,9.12016
2015-05-28,9.78,9.99,8.97,9.07,47744600,9.02071
2015-05-27,9.39,9.87,9.26,9.74,46675500,9.68706
2015-05-26,9.30,9.50,9.15,9.39,38909000,9.33897
2015-05-25,9.01,9.39,9.01,9.31,40758000,9.2594
2015-05-22,8.93,9.08,8.69,9.01,36484800,8.96103
2015-05-21,8.62,8.85,8.60,8.80,25767600,8.75217
2015-05-20,8.60,8.82,8.56,8.61,31158600,8.56321
2015-05-19,8.36,8.66,8.33,8.59,25541100,8.54332
2015-05-18,8.13,8.44,8.10,8.37,21188600,8.32451
2015-05-15,8.44,8.44,8.13,8.17,18479100,8.1256
2015-05-14,8.29,8.55,8.28,8.44,25576600,8.39413
2015-05-13,8.23,8.37,8.15,8.32,22030500,8.27478
2015-05-12,8.22,8.32,8.11,8.24,18997500,8.19522
2015-05-11,8.01,8.23,7.91,8.22,21896300,8.17533
2015-05-08,7.75,7.96,7.72,7.95,16666800,7.90679
2015-05-07,7.83,7.86,7.62,7.66,15711200,7.61837
2015-05-06,8.22,8.31,7.77,7.85,16237800,7.80734
2015-05-05,8.63,8.66,8.10,8.16,19190000,8.11565
2015-05-04,8.53,8.74,8.40,8.63,16804200,8.5831
2015-05-01,8.57,8.57,8.57,8.57,000,8.52342
2015-04-30,8.65,8.77,8.55,8.57,18428900,8.52342
2015-04-29,8.40,8.67,8.40,8.65,17640900,8.60299
2015-04-28,8.80,8.86,8.38,8.42,25539100,8.37424
2015-04-27,8.85,8.95,8.75,8.83,34445300,8.78201
2015-04-24,8.55,9.03,8.50,8.83,46620700,8.78201
2015-04-23,8.45,8.65,8.26,8.60,40160700,8.55326
2015-04-22,8.37,8.55,8.32,8.44,37114600,8.39413
2015-04-21,8.01,8.31,7.98,8.30,27207900,8.25489
2015-04-20,8.26,8.26,7.99,7.99,26509400,7.94658
2015-04-17,8.28,8.30,8.13,8.25,27879200,8.20516
2015-04-16,8.04,8.25,7.92,8.18,14880500,8.13554
2015-04-15,8.31,8.38,7.90,8.05,21215600,8.00625
2015-04-14,8.41,8.47,8.25,8.35,23263000,8.30462
2015-04-13,8.25,8.49,8.15,8.43,23928300,8.38418
2015-04-10,7.79,8.16,7.73,8.14,25364300,8.09576
2015-04-09,7.94,8.07,7.53,7.79,22016400,7.74766
2015-04-08,8.12,8.14,7.77,7.94,25497800,7.89685
2015-04-07,8.02,8.22,8.01,8.10,24398800,8.05598
2015-04-06,8.00,8.00,8.00,8.00,000,7.95652
2015-04-03,7.72,8.06,7.68,8.00,27048400,7.95652
2015-04-02,7.84,7.94,7.72,7.79,31506600,7.74766
2015-04-01,7.43,7.61,7.42,7.59,24696800,7.54875
2015-03-31,7.51,7.67,7.40,7.44,26081900,7.39957
2015-03-30,7.50,7.57,7.41,7.50,20457600,7.45924
2015-03-27,7.49,7.55,7.37,7.43,14970300,7.38962
2015-03-26,7.17,7.57,7.17,7.51,30163400,7.46918
2015-03-25,7.27,7.43,7.18,7.38,19573700,7.33989
2015-03-24,7.41,7.41,7.12,7.26,23378600,7.22054
2015-03-23,7.30,7.44,7.30,7.39,20456300,7.34984
2015-03-20,7.24,7.35,7.19,7.27,18829900,7.23049
2015-03-19,7.22,7.27,7.15,7.23,19544100,7.19071
2015-03-18,7.15,7.27,7.11,7.25,22270000,7.2106
2015-03-17,7.01,7.21,6.96,7.13,29486900,7.09125
2015-03-16,6.75,7.14,6.75,6.98,21705500,6.94207
2015-03-13,6.69,6.87,6.69,6.85,13980200,6.81277
2015-03-12,6.80,6.83,6.60,6.67,19077200,6.63375
2015-03-11,6.85,6.91,6.77,6.80,13992200,6.76304
2015-03-10,6.79,6.99,6.71,6.85,23231300,6.81277
2015-03-09,6.71,6.87,6.70,6.83,27996400,6.79288
2015-03-06,6.71,6.85,6.61,6.62,18767600,6.58402
2015-03-05,6.62,6.77,6.56,6.74,21535700,6.70337
2015-03-04,6.50,6.66,6.49,6.64,17184100,6.60391
2015-03-03,6.58,6.58,6.46,6.50,16602000,6.46467
2015-03-02,6.51,6.64,6.48,6.60,22260100,6.56413
2015-02-27,6.41,6.56,6.39,6.50,15457700,6.46467
2015-02-26,6.33,6.42,6.30,6.42,10884400,6.38511
2015-02-25,6.44,6.45,6.29,6.33,9426700,6.2956
2015-02-24,6.44,6.44,6.44,6.44,000,6.405
2015-02-23,6.44,6.44,6.44,6.44,000,6.405
2015-02-20,6.44,6.44,6.44,6.44,000,6.405
2015-02-19,6.44,6.44,6.44,6.44,000,6.405
2015-02-18,6.44,6.44,6.44,6.44,000,6.405
